UserID,UserName,Email,Region,JoinDate,Level,TotalPlayTime,GamesOwned
1,williamscorey,zwilliams@yahoo.com,OC,2018-08-29,65,3726,11
2,laura10,davistyler@gonzalez.com,NA,2019-05-30,72,6107,6
3,alvaradobrandon,raymondadams@gmail.com,AF,2021-10-17,35,3325,14
4,kevinanderson,ldonovan@hotmail.com,EU,2020-11-14,31,864,10
5,aprilschaefer,clewis@gmail.com,OC,2021-05-02,90,8134,6
6,lkim,tara26@holden.com,NA,2020-12-07,11,3403,6
7,umoore,andrew75@grant.net,AF,2025-03-23,30,42,9
8,jasonmcbride,aliciahernandez@wilson.com,AF,2020-09-19,81,4222,13
9,juliacoleman,andrew86@garza.com,SA,2022-12-04,21,2017,14
10,sharris,johnmccarty@yahoo.com,OC,2021-10-12,6,3345,6
11,jonesbarbara,xadams@gmail.com,SA,2016-02-17,29,7417,13
12,christian14,larrykane@webb-thomas.com,OC,2023-09-18,66,132,9
13,arielmoore,wbates@yahoo.com,ASIA,2021-07-24,49,5606,6
14,rebeccalee,tracey70@wiley-elliott.biz,NA,2022-02-08,66,1275,5
15,kevinwilcox,aparker@yahoo.com,AF,2020-01-02,9,4801,10
16,david95,nicolegreer@hotmail.com,ASIA,2020-02-11,68,3327,5
17,jeffreydecker,cameron98@gmail.com,OC,2022-08-19,35,1991,11
18,lhart,castrodavid@hotmail.com,ASIA,2020-09-07,76,8310,15
19,llambert,andrew09@davis.com,EU,2024-06-10,3,618,8
20,raymond28,rharper@hotmail.com,ASIA,2019-03-23,87,5125,14
21,jasmine78,rachelmueller@hotmail.com,ASIA,2015-07-08,59,1543,14
22,englishmichael,qhernandez@stevens.com,NA,2018-10-31,21,5577,11
23,hhill,annabrooks@haley-johnson.net,ASIA,2019-06-21,75,1944,11
24,lhoffman,kristy98@gmail.com,NA,2016-05-05,19,492,14
25,ygreen,alexander63@franklin-sloan.org,OC,2020-05-24,10,3787,11
26,daniel09,rogersjasmin@ward.com,EU,2023-01-23,98,3869,11
27,mcdonaldkimberly,aaronhaas@yahoo.com,EU,2023-11-21,80,519,14
28,kbrown,torresjennifer@daniel.com,AF,2015-09-23,85,15299,14
29,robertwhite,danamathews@ortega-ballard.info,AF,2021-10-30,99,4328,11
30,crystalhernandez,scott89@hotmail.com,AF,2022-01-12,83,1626,15
31,irivera,robertawilliams@hotmail.com,ASIA,2015-09-27,69,5378,8
32,millerjohn,thomashutchinson@hotmail.com,OC,2018-10-25,52,2662,13
33,dpearson,barbaradavis@allen.com,EU,2021-01-01,12,3082,8
34,margaretwebster,escobarjohn@bartlett.info,SA,2019-06-17,17,328,8
35,elarson,melissa58@gmail.com,OC,2015-09-05,19,7321,12
36,lisawood,kimberly23@jenkins.org,ASIA,2024-04-11,64,1724,8
37,ygonzalez,herreramark@hotmail.com,ASIA,2019-03-08,10,6007,9
38,crodriguez,colindavis@ho.com,SA,2024-09-12,69,872,7
39,ryansims,shall@yahoo.com,ASIA,2016-03-13,73,16299,15
